PropertyName,Address,City,State,ZipCode,PhoneNumber,TotalSqFt,NetRentableSqFt,TotalAcres,NumBuildings,NumFloors,PropertyStatus,ImpressionRating,LocationRating,CompletionDate
502 Storage,4914 Mud Lane,Louisville,KY,40229,5024148304,101479,96405,5.86,13,1,Completed,C,B-,2003-01-01
A & Z Mini Storage,1048 South Dixie Blvd,Radcliff,KY,40160,2703517412,5900,5605,1.03,4,1,Completed,C,C,1997-01-01
A - 1 Moon Mini Storage,8969 Highway 44 East,Mt Washington,KY,40047,5025384774,35000,33250,3.37,8,1,Completed,C,C+,1959-01-01
A - 1 Self Storage,2133 Frankfort Avenue,Louisville,KY,40206,5028973444,25000,21250,1.47,3,2,Completed,C,C+,1984-01-01
A - 1 Self Storage,8409 New La Grange Road,Louisville,KY,40242,5024290000,53790,51100,3.52,10,1,Completed,B,B-,1995-01-01
A Another Room Self Storage,3120 Preston Hwy,Louisville,KY,40213,5026372258,72753,61840,3.72,8,2,Completed,C,C+,1970-01-01
A Another Room Self Storage,100 West Knox Blvd,Radcliff,KY,40160,2703518788,73000,69350,4.23,12,1,Completed,B,C,2010-01-01
A Another Room Self Storage,11720 Dixie Hwy,Louisville,KY,40272,5024505182,122750,116612,13.64,16,1,Completed,B,C+,2017-06-13
A Gardiner Lane Mini Storage,1516 Gardiner Lane,Louisville,KY,40218,5024521313,24000,22800,1.63,11,1,Completed,C,C,1979-01-01
A Plus Tan,2110 Frankfort Road,Shelbyville,KY,40065,5026336983,32150,30542,3.46,12,1,Completed,C,B-,2004-01-01
APB Self Storage,4901 Fern Valley Road,Louisville,KY,40219,5029647867,60100,57095,3.95,13,1,Completed,B,C+,1986-01-01
Access Storage,1775 Budd Road,Corydon,IN,47112,8127382525,66416,63095,4.21,8,1,Completed,B,C+,2012-01-01
Simply Self Storage,3913 Accomack Drive,Louisville,KY,40241,5022906661,122895,92171,3.02,1,3,Completed,A,B,2019-01-15
Affordable Mini Warehouses,2912 Tucker Road,Louisville,KY,40299,5026489035,4818,4577,0.5,3,1,Completed,C,C+,2001-01-01
Affordable Storage,53 Sage Court,Rineyville,KY,40162,2705051153,13180,12521,1.1,4,1,Completed,B,C,2011-01-01
U - Haul Moving & Storage,3413 Collins Lane,Louisville,KY,40245,5024594799,59621,50677,3.51,5,2,Completed,A,A-,1996-01-01
Albright Self Storage,298 Bechnel Lane,Shepherdsville,KY,40165,5025524896,14400,13680,10.98,6,1,Completed,C,C+,1997-01-01
All Ready Storage,3064 Battle Training Road,Elizabethtown,KY,42701,2703008922,6800,6460,2.39,2,1,Completed,C,C,2002-01-01
Public Storage,6714 Preston Hwy,Louisville,KY,40219,5026947270,60188,57178,4.8,7,1,Completed,C,C+,1987-01-01
Public Storage,5550 Greenbelt Hwy,Louisville,KY,40216,5026327369,83823,79631,7.77,27,1,Completed,B,C,1997-01-01
Public Storage,6713 Strawberry Lane,Louisville,KY,40214,5026327380,114647,108914,6.24,13,1,Completed,B,C,1998-01-01
Public Storage,4324 Poplar Level Road,Louisville,KY,40213,5026947285,50398,47878,2.19,4,1,Completed,C,C,1986-01-01
Public Storage,1405 Bunton Road,Louisville,KY,40213,5026947151,49350,46882,2.13,5,1,Completed,C,C,1981-01-01
Public Storage,9100 Blue Lick Road,Louisville,KY,40219,5027805630,61150,58092,4.01,10,1,Completed,B,C+,2014-01-01
Public Storage,7022 Highway 311,Sellersburg,IN,47172,8127482005,101636,96554,9.25,13,1,Completed,B,C+,2000-01-01
Public Storage,3610 Hopewell Road,Louisville,KY,40299,5026327379,67548,64170,4.39,11,1,Completed,B,B-,2015-01-01
Public Storage,3818 Bardstown Road,Louisville,KY,40218,5023093603,97560,92682,5.47,11,1,Completed,B,C+,2017-01-04
Q - 2 Self Storage,6651 Paramount Park Drive,Louisville,KY,40213,5022890989,42223,40111,8.31,9,1,Completed,B,C+,2015-01-01
Q - 2 Self Storage,3520 Chamberlain Lane,Louisville,KY,40241,5024303231,106689,101354,11.2,7,1,Completed,B,B,2001-01-01
QSI Storage,108 Schuler Drive,Bardstown,KY,40004,5023501000,16200,15390,1.84,2,1,Completed,C,C,2003-01-01
Ramey Mini Storage,384 South Lakeview Drive,Shepherdsville,KY,40165,5025430820,19152,18194,2.5,5,1,Completed,C,C,1997-01-01
