ZipCode,Estimate!!Households!!Total,"Estimate!!Households!!Total!!$75,000 to $99,999","Estimate!!Households!!Total!!$100,000 to $149,999","Estimate!!Households!!Total!!$150,000 to $199,999","Estimate!!Households!!Total!!$200,000 or more",Estimate!!Households!!Median income (dollars)
01464,2345,14.5,24.1,12.1,16.3,111875
01468,1622,22.6,21.7,14.5,10.9,98925
01469,2831,14.5,21.3,15.4,13.8,103984
01473,3122,7.9,26.5,13,16,107738
01474,680,12.6,20,24.7,9.7,108068
01475,3726,10.3,28.6,10.9,4.6,85000
01501,6534,12.7,22,14.2,11.4,94267
01503,1311,13,20.9,11.7,20.1,106908
01504,3874,12.8,22.1,8,13.9,89129
01505,1834,10.2,19.9,11.7,29.1,127833
01506,1395,8.5,19.6,16,6.1,75329
01507,4776,11.5,29.6,15.6,12.5,106558
01510,6455,17.6,18.5,15,3.9,84938
01515,835,12.3,14.7,10.4,8.6,70660
01516,3179,8.2,22.7,23.9,18.1,133854
01518,1280,9.3,24.3,12.3,5.9,78673
01519,2652,6.9,17.1,14.1,29.5,128824
01520,6021,11.4,20.7,19.7,20.8,128245
01521,1106,16,20.1,11.1,6.1,82500
01522,1159,5.6,29.6,20.3,9.2,109867
01523,2801,10.7,20.6,17.2,15,109651
01524,2180,18.1,17.1,12.4,7.8,80702
01525,31,0,0,0,0,-
01527,5165,13.5,22.9,14.6,11.3,96672
01529,1275,15.3,20.5,10.4,11.3,82131
01531,430,19.3,17.9,13,8.8,86667
01532,5662,9.2,15.9,13.2,36.1,148010
01534,2367,15.4,26.3,16.7,16.3,115439
01535,1883,19,19.3,8.4,6.3,77313
01536,2914,13.4,20.4,12.3,14.8,89886
01537,781,5.8,16.9,16.5,1,61514
01540,3988,11.6,22.6,19.3,10.2,110195
01541,1298,6.5,21,26,23.7,148438
01542,992,12.4,21.8,17.6,7,88295
01543,3052,12.7,21.4,15.2,24.7,132000
01545,13808,11.8,19.6,16.6,22.8,117909
01550,7094,11,15.6,4.2,4.9,50414
01560,1902,12,14.6,16.4,15.6,89779
01561,17,0,100,0,0,-
01562,5186,12.2,21.2,4.7,8.7,68559
01564,3248,7.6,20.6,11.4,22.9,119000
01566,2610,11.3,20.4,12.1,17.9,105417
01568,2651,6.8,17.2,14.4,32.6,141250
01569,5327,15.2,27.3,14.8,16.7,115304
01570,7414,12,16.8,8.8,6.6,64305
01571,4199,12.7,24.3,6.7,6.7,75465
01581,7980,9.9,19.5,12.6,26.9,118185
01583,2784,17,17.8,10.2,17.2,94464
01585,1968,9.7,19.1,11.7,9,71667
01588,4005,11.1,18.1,14.6,10.9,81438
01590,3332,11,19.7,15.9,24.8,123542
01602,10527,14,19.3,9,8.5,76287
01603,7496,9.8,14.1,6.4,4,53166
01604,16869,12,17.9,5.7,3.9,63107
01605,11626,10.8,11.1,6,4.5,45709
01606,9198,13.7,19,9.2,7.9,74765
01607,3916,15.1,16.8,4,3.5,57880
01608,1945,9.2,8.3,3.2,3.7,37962
01609,8439,9.4,10.4,6.1,11.4,49333
01610,8866,10,9.6,2.8,1.9,35642
01611,783,12.4,31.5,7.9,11.9,103405
01612,1588,13.9,24.7,17.1,22.7,123958
01701,13189,9.7,19.5,15.8,24.5,120811
01702,14810,14.3,14.7,6.8,11.6,71602
01718,228,28.5,19.3,6.6,44.3,173000
01719,2180,10,13.9,11.5,35.1,136875
01720,8678,6.4,16.2,14.4,32.2,138220
01721,7587,13.6,17.8,16.3,22.7,115959
01730,5540,7.3,20.1,13.1,35.1,140647
01731,478,6.5,25.9,24.5,6.9,105909
01740,1853,10.1,16.5,19.5,39.4,167132
01741,1800,3.2,12.3,11.4,54.4,216000
01742,6357,4.9,14.2,15.1,42.2,168934
01745,215,8.8,40.9,14,28.4,148207
01746,5354,7.6,22,15.4,31.2,142339
01747,2116,12.1,20.3,14.7,21.6,113300
01748,6556,8.2,11.9,16.4,45.7,179192
01749,8035,11,18.2,11.9,16.8,94191
01752,17147,11.2,20.4,11.1,12.2,86230
01754,4269,11.1,20.2,14.1,22.7,112432
01756,2076,15.1,10.8,20.5,25,133850
01757,11487,15.2,20,13.1,11.1,89273
01760,15153,10.2,18.6,12.9,28.3,123109
01770,1515,5.7,12.8,11.5,53.3,218906
01772,3364,7.8,13.4,12.9,43.3,173056
01773,2123,3.7,14.8,7.9,45.8,172891
01775,2646,9.6,17.4,22.4,26.9,147841
01776,6208,6.5,8.1,14.7,56.5,217847
01778,4838,5.1,15.2,11.8,50.4,203125
01801,16292,14.9,18.1,12.7,16.9,95184
01803,10093,9.8,18.7,12.2,27.8,124755
01810,13235,8,16.6,13.9,37.2,155252
01821,11664,12.1,25.4,19.3,15.6,126146
01824,9915,13.6,17.3,18.7,24.4,130215
01826,12350,13.2,23.1,13.2,10.7,94882
01827,1136,9.2,18.2,18.4,38.2,177803
01830,10759,11.8,18.1,8.9,7.4,66052
01832,9915,15.3,15.7,9.8,6.6,70910
01833,3185,14,13.8,19.2,25,130240
01834,2532,12.7,29.2,13.2,22.2,121711
01835,5434,17.4,23.5,12.2,9.6,92880
01840,3068,5.4,5.3,1.3,0.9,28347
01841,17019,13,8.7,4.5,2.7,47527
01843,10204,15.2,14.4,6.1,4.6,61362
01844,18792,12,21.4,11.8,10.6,87181
01845,10971,9.8,16.9,14.6,27.8,120954
01850,5864,14.4,19.2,1.3,4.5,59571
01851,11376,13.8,15.5,9.5,8.3,72133
01852,14628,13.4,18.9,6.7,6.5,68256
01854,10417,12.8,15.5,5.5,5.6,58422
01860,2589,14.5,18.9,14.8,12.5,88832
01862,3956,14,27.1,11.2,15.7,106964
01863,3713,13.3,27.4,10.9,16.1,108427
01864,5848,13,19.5,15.9,24.3,123813
01867,9297,8.9,15.9,17.1,29.6,145471
01876,11903,12.7,24.5,16.4,15.2,112917
01879,4053,10.3,22.4,19.7,20,130509
01880,10905,11.7,20.5,14.1,21.4,110878
01886,8515,7.2,17.4,19.5,35.3,161076
01887,7756,12,19.3,20.5,27.7,146250
01890,8149,6,14.5,12.5,46.4,184844
01901,1194,8.6,8.5,0,1.8,24207
01902,18673,13.4,12.9,5.9,4.5,53802
01904,7044,13,19.8,15.1,12.9,94006
01905,9339,14.3,15.6,9.1,4.8,64885
01906,10581,14.1,22.6,12.2,11.5,93737
01907,6169,11.2,17,15,20.9,112668
01908,1678,19.7,17.9,11.2,19,99456
01913,7326,11.7,20.8,9.2,15.2,87433
01915,16363,13.4,17.3,10.6,17.2,89076
01921,2905,6.6,13.4,18.1,45.8,186899
01922,1196,7.5,12.5,11.6,49.3,193667
01923,10964,12.5,20.8,12.8,18.3,105654
01929,1335,6.2,21,13.8,23.3,115670
01930,13168,14.4,19.8,8.5,11.7,82984
01937,0,-,-,-,-,-
01938,5573,10.3,18.6,12.3,23.2,111701
01940,4663,7.7,18.3,14.8,33,144116
01944,2080,5,10.3,15.6,48,193279
01945,8075,6.4,16,11.8,39,154049
01949,3122,11.5,13.6,22.3,31.4,155482
01950,7537,11,15.4,14.3,27,115807
01951,1337,15.6,23,12.3,29.7,122344
01952,3885,11.8,24.7,10.1,13.2,92048
01960,22681,13.4,20.3,10.3,10.4,83539
01965,354,0,2,0,76,223570
01966,3319,14.1,16.9,10.7,14.4,88377
01969,2326,11.7,23.1,16.6,19.9,124196
01970,19699,11.1,17.6,9,10.1,72994
01982,2575,7.9,14.8,14.5,26.7,116955
01983,2202,7.7,12.1,16.8,35.1,155208
01984,1291,2.9,17,17.4,34.5,154375
01985,1591,14.4,15.1,15,39.5,164250
02019,6250,12.8,24.6,14.6,15.5,109042
02021,9305,11.4,19.6,13.9,24.9,118814
02025,3146,5.7,15,8.1,43.7,156689
02026,10458,10.8,18.3,13.2,21.8,108047
02030,1916,4.7,12.3,7.3,65.6,"250,000+"
02032,1522,12.8,17,9.7,42.3,161292
02035,7289,16.3,18,9,19.6,95410
02038,12118,11.1,18.6,16.4,26.2,127608
02043,9252,6.3,13.2,10,41.5,154300
02045,4380,10,24.6,9.5,23.3,117120
02047,89,43.8,16.9,0,20.2,93309
02048,8707,13.1,18.9,17.7,21.8,122274
02050,10142,9.4,18.2,18.6,17.9,109524
02052,4373,4.9,13.1,10.6,49.2,196820
02053,4812,11.2,16.1,19.8,29.6,147276
02054,3078,9.6,24.9,20.4,18.6,131138
02056,2967,6.8,18.8,18.6,37.9,168281
02061,3567,7.9,14.6,16.3,43.3,172022
02062,13002,12.6,20.4,10.9,17.5,96414
02066,7412,10,15.5,12.3,33.7,132639
02067,6395,10.8,18.1,17.9,35.2,157928
02071,383,0,20.1,41.5,31.9,183894
02072,11277,15.1,22.8,11.1,13.6,94823
02081,7251,6.4,20.9,13.1,28.8,129972
02090,5424,5,15.2,13.8,44.3,171071
02093,4480,8.4,16.8,18.7,30.3,147201
02108,1905,4.8,14.8,11.8,39.1,151793
02109,1958,7.4,18.5,18.8,32.2,156351
02110,1282,4.4,14.6,5.7,42,123942
02111,3515,6.3,8.3,5.3,25.7,65587
02113,4025,14,25.8,9.8,15.1,100613
02114,7358,9.2,17.7,11.6,29.2,118125
02115,9455,7.1,9.8,5.7,9.7,47486
02116,11707,7.6,14.7,8.1,34.9,121967
02118,13847,7.7,8.2,10.1,22.4,71096
02119,11953,8,10,4.1,3.4,34987
02120,4701,10.5,11,8.5,5.6,50728
